GT: [27.08]	Pred: [26.470667]
GT: [28.57]	Pred: [28.911829]
GT: [25.11]	Pred: [25.600351]
GT: [27.81]	Pred: [26.024841]
GT: [30.57]	Pred: [28.5013]
GT: [34.02]	Pred: [28.066383]
GT: [30.66]	Pred: [27.649397]
GT: [26.26]	Pred: [29.38415]
GT: [26.27]	Pred: [26.575583]
GT: [26.15]	Pred: [20.971508]
GT: [20.14]	Pred: [21.66327]
GT: [22.74]	Pred: [25.103598]
GT: [26.18]	Pred: [28.353062]
GT: [31.]	Pred: [27.317438]
GT: [31.63]	Pred: [28.654799]
GT: [31.15]	Pred: [29.642096]
GT: [26.82]	Pred: [23.600073]
GT: [27.03]	Pred: [27.275412]
GT: [19.]	Pred: [24.759716]
GT: [21.68]	Pred: [26.504086]
GT: [28.7]	Pred: [26.775171]
GT: [23.65]	Pred: [26.17577]
GT: [30.23]	Pred: [30.623774]
GT: [30.46]	Pred: [24.428905]
GT: [27.12]	Pred: [24.67386]
GT: [26.55]	Pred: [29.9046]
GT: [29.77]	Pred: [30.33845]
GT: [30.92]	Pred: [31.784859]
GT: [28.52]	Pred: [31.551199]
GT: [22.14]	Pred: [22.40801]
